,나이,성별,직장,수면어려움정도,워치유저,워치착용슬립,어플사용유무,어플명,어플사용이유,잠필요시기,해결법,잠필요시기1,해결법1,어플-슬립사이클,어플-필로우,어플-오토슬립,어플-슬립지,어플-슬립워치,어플-스노어랩,어플-슬립모니터,어플-SaA,어플-삼성,어플-워치,어플-애플,어플-샤오미,어플-calm,어플-Asmr,어플-유튜브,어플-기타,연령대,이유-알람,이유-수면 모니터링,이유-수면 분석 리포트,이유-수면 유도,"이유-코골이, 이갈이 등 녹음"
0,33,남성,직장인,3,0,0,0,NO,NO,,,근무 시간이 길 때,누워서 뒤척인다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30대,0,0,0,0,0
1,25,여성,직장인,4,0,0,0,NO,NO,,,숙취해소,"캐모마일 티 마시기, 온열안대 착용, 마사지 등 몸을 풀어주는 스트레칭",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
2,24,여성,학생,6,0,0,1,슬립사이클,수면 모니터링,"다음날 일정이 많고 몸을 많이 쓸 때, 시험 기간",잠이 안오면 어떤 방법을 써도 효과가 없어서 그냥 샙니다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,0,0
3,29,여성,직장인,8,1,0,0,NO,NO,,,매일,수면음악듣기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
4,29,남성,직장인,8,1,1,0,NO,NO,,,마감이 많이 몰리는 월말 월초,일단 누워서 버텨봅니다ㅜ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,0,0,0,0
5,28,남성,취준생,1,0,0,1,슬립사이클,"알람, 수면 모니터링","질문이 이해가 잘 안되는데, 시험기간이나 프로젝트 기간에 잠을 짧지만 효율적으로 자는게 좋습니다.",호흡에 집중합니다,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,0,0,0
6,15,남성,학생,7,0,0,0,NO,NO,,,지금,피곤하게 만든다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10대,0,0,0,0,0
7,27,여성,직장인,8,1,0,1,필로우,"수면 모니터링, 코골이, 이갈이 등 녹음",평소,잠이 올 때까지 핸드폰을 한다.,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,0,1
8,26,여성,직장인,8,1,1,1,슬립사이클,수면 모니터링,평일,친구와 통화나 카톡하면 편한 친구의 익숙한 목소리가 잠오게 되더라고요,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,0,1,0,0,0
9,28,남성,취준생,9,1,0,1,없음,알람,밤낮이 바뀔때,다음날 일찍잠듬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20대,1,0,0,0,0
10,32,남성,직장인,7,1,1,1,삼성워치,"수면 모니터링, 수면 분석 리포트",평소,수면제,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30대,0,1,1,0,0
11,29,여성,직장인,8,1,1,1,슬립사이클,"알람, 수면 모니터링, 수면 유도",매일..?,"침대에서 아예 반대 방향으로 누워서 자거나, 졸릴 때까지 영상을 봅니다.",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20대,1,1,0,1,0
